"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"14I","F2010","F","2010",12,100,4.33333333333333,"78T",3.83333333333333,0.5,"kin",887,0.0301700680272109,43.210278074336,"78",29,0.202797202797203,37.3050892316386,40.2576836529873,14,4,1,TRUE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"56A",4.33333333333333,0.25,"kin",0,0,0,"78",8,0.0512820512820513,9.43347084018447,4.71673542009223,14,4,5,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"29Z",4.33333333333333,0.0625,"non-kin",469,0.0150320512820513,21.5292559280703,"78",6,0.0384615384615385,7.07510313013835,14.3021795291043,14,4,3,TRUE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"68J",4.33333333333333,0.125,"kin",0,0,0,"78",2,0.0129032258064516,2.3735829855948,1.1867914927974,14,4,7,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"V36",4.33333333333333,0,"non-kin",588,0.0188461538461538,26.9919029545956,"78",4,0.0256410256410256,4.71673542009223,15.8543191873439,14,4,2,TRUE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"N12",4.33333333333333,0,"non-kin",0,0,0,"78",2,0.0128205128205128,2.35836771004612,1.17918385502306,14,4,9,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"68V",4.33333333333333,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"35N",4.33333333333333,0,"non-kin",0,0,0,"78",1,0.00641025641025641,1.17918385502306,0.589591927511529,14,4,13,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"28J",4.33333333333333,0,"non-kin",0,0,0,"78",1,0.00641025641025641,1.17918385502306,0.589591927511529,14,4,13,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"24B",4.33333333333333,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"14L",3.33333333333333,0,"non-kin",0,0,0,"78",1,0.0075187969924812,1.38310286754584,0.691551433772921,14,4,10,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"10S",3.66666666666667,0.125,"kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"52P",4.33333333333333,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"Z14",3.5,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"43F",4.33333333333333,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"43J",4.33333333333333,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
"14I","F2010","F","2010",12,100,4.33333333333333,"82A",4.33333333333333,0,"non-kin",0,0,0,"78",NA,0,0,0,14,4,NA,FALSE,1,2,3
