"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"14I","F2011","F","2011",13,100,5,"78T",5.16666666666667,0.5,"kin",1242,0.0339344262295082,47.5264530938233,"89",31,0.173184357541899,42.1534023126674,44.8399277032454,16,5,1,TRUE,1,2,3
"14I","F2011","F","2011",13,100,5,"56A",4.66666666666667,0.25,"kin",66,0.00189655172413793,2.65619273912672,"89",4,0.0236686390532544,5.76099180299101,4.20859227105887,16,5,5,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"29Z",5,0.0625,"non-kin",479,0.0133055555555556,18.6349360299037,"89",11,0.0621468926553672,15.1266719798874,16.8808040048956,16,5,2,TRUE,1,2,3
"14I","F2011","F","2011",13,100,5,"68J",5.16666666666667,0.125,"kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"V36",5,0,"non-kin",0,0,0,"89",1,0.00574712643678161,1.39886151538144,0.699430757690719,16,5,9,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"35N",5.16666666666667,0,"non-kin",0,0,0,"89",1,0.00558659217877095,1.35978717137637,0.679893585688185,16,5,15,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"9A4",5.16666666666667,0,"non-kin",179,0.00489071038251366,6.84962568743509,"89",1,0.00552486187845304,1.34476189876448,4.09719379309978,16,5,6,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"68V",5,0,"non-kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"N12",5,0,"non-kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"28J",5.16666666666667,0,"non-kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"24B",5.16666666666667,0,"non-kin",0,0,0,"89",1,0.0054945054945055,1.33737309712291,0.668686548561456,16,5,16,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"14L",5,0,"non-kin",298,0.00827777777777778,11.5933422482491,"89",3,0.0168539325842697,4.10227927544444,7.84781076184675,16,5,4,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"2A2",5.16666666666667,0.125,"kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"10S",5.16666666666667,0.125,"kin",0,0,0,"89",1,0.00561797752808989,1.36742642514815,0.683713212574073,16,5,14,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"52P",5.16666666666667,0,"non-kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"2A5",5.16666666666667,0,"non-kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
"14I","F2011","F","2011",13,100,5,"Z14",5,0,"non-kin",0,0,0,"89",NA,0,0,0,16,5,NA,FALSE,1,2,3
