"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"43F","F2014","F","2014",18,100,8.66666666666667,"0G5",8.66666666666667,0.5,"kin",2034,0.0325961538461539,97.3043352345536,"155",8,0.0257234726688103,24.3627533432669,60.8335442889103,18,10,2,TRUE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"5C0",8.66666666666667,0.5,"kin",2287,0.036650641025641,109.407578506108,"155",12,0.0387096774193548,36.662014305271,73.0347964056896,18,10,1,TRUE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"43J",8.33333333333333,0.0625,"non-kin",157,0.00256535947712418,7.65797706494395,"155",8,0.0262295081967213,24.8420206221508,16.2499988435474,18,10,4,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"4C1",8.5,0.03125,"non-kin",363,0.00587378640776699,17.5341202650804,"155",1,0.00325732899022801,3.08502291928176,10.3095715921811,18,10,7,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"9D8",8.5,0.015625,"non-kin",0,0,0,"155",1,0.00324675324675325,3.07500661110227,1.53750330555114,18,10,16,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"82A",8.16666666666667,0,"non-kin",408,0.00673267326732673,20.0980244393459,"155",3,0.01,9.471020362195,14.7845224007704,18,10,5,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"6C0",8.5,0,"non-kin",419,0.00677993527508091,20.2391085153407,"155",2,0.0065359477124183,6.19020938705555,13.2146589511981,18,10,6,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"98T",8.16666666666667,0.0625,"non-kin",0,0,0,"155",1,0.0033112582781457,3.13609945768046,1.56804972884023,18,10,14,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"04N",8.5,0.03125,"non-kin",0,0,0,"155",NA,0,0,0,18,10,NA,FALSE,2,1,3
"43F","F2014","F","2014",18,100,8.66666666666667,"3E2",7.83333333333333,0.140625,"kin",0,0,0,"155",3,0.0101351351351351,9.59900712384628,4.79950356192314,18,10,10,FALSE,2,1,3
