"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"69O","R2015","R","2015",14,100,4,"2C8",4,0.5,"kin",311,0.0107986111111111,18.0242504975304,"72",12,0.0833333333333333,38.0740353616284,28.0491429295794,11,8,1,TRUE,3,0,3
"69O","R2015","R","2015",14,100,4,"2F0",4,0.5,"kin",342,0.011875,19.8208799683454,"72",10,0.0694444444444444,31.728362801357,25.7746213848512,11,8,2,TRUE,3,0,3
"69O","R2015","R","2015",14,100,4,"4H0",4,0.125,"kin",321,0.0111458333333333,18.6038083913417,"72",4,0.0277777777777778,12.6913451205428,15.6475767559423,11,8,3,TRUE,3,0,3
"69O","R2015","R","2015",14,100,4,"4B2",4,0.125,"kin",436,0.0151388888888889,25.2687241701713,"72",1,0.00694444444444444,3.1728362801357,14.2207802251535,11,8,4,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"14Z",4,0.125,"kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"8F0",4,0.125,"kin",0,0,0,"72",2,0.0138888888888889,6.3456725602714,3.1728362801357,11,8,7,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"1E7",4,0.03125,"non-kin",0,0,0,"72",2,0.013986013986014,6.39004789286071,3.19502394643035,11,8,6,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"X91",4,0.25,"kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"3B1",4,0.125,"kin",0,0,0,"72",2,0.0138888888888889,6.3456725602714,3.1728362801357,11,8,7,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"1E6",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"54N",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"8A3",4,0.015625,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"4H1",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"28I",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"4A0",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"4A5",4,0.0625,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"3H4",4,0.03125,"non-kin",0,0,0,"72",1,0.00694444444444444,3.1728362801357,1.58641814006785,11,8,9,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"87F",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"7A8",3.83333333333333,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"93I",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"0B5",3.5,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"4E0",3.83333333333333,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"89K",4,0,"non-kin",378,0.013125,21.9072883860659,"72",NA,0,0,10.953644193033,11,8,5,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"0A2",3.83333333333333,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"3F4",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"6D8",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"09Z",3.83333333333333,0.015625,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"7A6",4,0.0625,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"77V",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"0F6",4,0.03125,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"0E1",3.83333333333333,0.03125,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"0E2",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"4F8",3.83333333333333,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"37P",3.66666666666667,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"6B0",4,0.0625,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"7F7",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"4D5",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2015","R","2015",14,100,4,"51T",4,0,"non-kin",0,0,0,"72",NA,0,0,0,11,8,NA,FALSE,3,0,3
